bug_id,query
128,"Bug 128 - Switching language is not working. #### General information* **App version:** 0.7.1.1* **App source:** GitHub* **Android Version:** 6#### Expected result**What is expected?**When switching language, the UI should display the right language**What does happen instead?**The app is falling back to english#### Steps to reproduceI think that the app should use `values-ar` `values-fr` etc instead of the regionalized `values-rLangRegion`This can be disabled on Crowdin."
18,"Bug 18 - Can't open the add/remove medicine stock dialog # Version2.5.7 from F-Droid# Steps to reproduce1. Edit a medicine1. Tap the '+' or '-' button# Expected outcomeThe add/remove dialog gets displayed.# Actual outcomeI get kicked back to the medicine screen.## Exception```FATAL EXCEPTION: mainProcess: es.usc.citius.servando.calendula, PID: 6220java.lang.IllegalStateException: Fragment b{f3e5022 #0 number_dialog} declared target fragment MedicineCreateOrEditFragment{8239cfe #0 id=0x7f0901de android:switcher:2131296734:0} that does not belong to this FragmentManager!at android.support.v4.app.p.a(Unknown Source:303)at android.support.v4.app.p.e(Unknown Source:38)at android.support.v4.app.p.a(Unknown Source:45)at android.support.v4.app.d.g(Unknown Source:169)at android.support.v4.app.p.b(Unknown Source:38)at android.support.v4.app.p.a(Unknown Source:112)at android.support.v4.app.p.b(Unknown Source:89)at android.support.v4.app.p.f(Unknown Source:21)at android.support.v4.app.p$1.run(Unknown Source:2)at android.os.Handler.handleCallback(Handler.java:808)at android.os.Handler.dispatchMessage(Handler.java:101)at android.os.Looper.loop(Looper.java:166)at android.app.ActivityThread.main(ActivityThread.java:7425)at java.lang.reflect.Method.invoke(Native Method)at com.android.internal.os.Zygote$MethodAndArgsCaller.run(Zygote.java:245)at com.android.internal.os.ZygoteInit.main(ZygoteInit.java:921)```"
1096,"Bug 1096 - Going back while recording sound causes endless loading (or crash) > Pixel 3>> Create new observation> Record a sound> record the sound> Don't press done, but go back (eg because the sound was not good and you want to re-record)> try to record a new sound> press done> get an endless Loading screen> unable to go back> have to force close iNat app>> Same issue if you have an existing observation> Record a sound, but don't press done, just go back to re-record.> Record the sound, press done, and endless Loading screen.Note that I believe she is using the built-in sound recorder. There are some large crash logs in slack: https://inaturalist.slack.com/archives/G041A2Z1W/p1571388239011300When I try to replicate given the steps above (on a Pixel 3), I just get a crash immediately after tapping the back button in the left side of the header."
2,"Bug 2 - app crash when change view by in report section #### EXPECTED BEHAVIORwhen the user changes the appearance of the report from ""view value"" to ""use percent value"" this application will still work properly and will display report data in accordance with the wishes of the user#### ACTUAL BEHAVIORwhen the user changes the appearance of the report from ""view value"" to ""use percent value"" this application will crash and stop working#### STEPS TO REPRODUCE- install and open the app- click ""report"" option- scroll to the right side to ""incomes by articles or expenses by articles- click eye icon- change view by ""view values"" to ""use percent values""- see errors**devices**- phone models: oppo neo 7- os                  : android 6.1#### BUG RECORDINGhttps://www.youtube.com/watch?v=MYMrVP3fQ_g&feature=youtu.belogcat```FATAL EXCEPTION: mainProcess: io.github.zwieback.familyfinance, PID: 13191java.lang.NullPointerException: Attempt to invoke virtual method 'void com.github.mikephil.charting.data.PieData.setDrawValues(boolean)' on a null object referenceat io.github.zwieback.familyfinance.business.chart.fragment.PieChartFragment.onApplyDisplay(PieChartFragment.java:160)at io.github.zwieback.familyfinance.business.chart.fragment.PieChartFragment.onApplyDisplay(PieChartFragment.java:40)at io.github.zwieback.familyfinance.business.chart.activity.ChartActivity.onApplyDisplay(ChartActivity.java:150)at io.github.zwieback.familyfinance.business.chart.dialog.ChartDisplayDialog.lambda$onCreateDialog$0(ChartDisplayDialog.java:53)at io.github.zwieback.familyfinance.business.chart.dialog.-$$Lambda$ChartDisplayDialog$3JuCWsAV3m9zaJu55iVYBsSndyU.onClick(lambda)at android.support.v7.app.AlertController$ButtonHandler.handleMessage(AlertController.java:167)at android.os.Handler.dispatchMessage(Handler.java:111)at android.os.Looper.loop(Looper.java:218)at android.app.ActivityThread.main(ActivityThread.java:5657)at java.lang.reflect.Method.invoke(Native Method)at java.lang.reflect.Method.invoke(Method.java:372)at com.android.internal.os.ZygoteInit$MethodAndArgsCaller.run(ZygoteInit.java:990)at com.android.internal.os.ZygoteInit.main(ZygoteInit.java:785)```"
10,"Bug 10 - FTP server restarted if app is killed after stopping it Material Files version: 1.0.0-beta.11 (12)Android version: 6.0kernel version: 3.10.49F-Droid version: 1.7.1Device: LG-H735AR**Steps to reproduce:**1. Open Material Files (Give access to files)2. Open menu > FTP server3. Start server4. Stop server5. Close application**Result:**Server restarts by its own.That's it.By the way, the app is beautiful and useful, I really appreciate it and thank your work."
1147,"Bug 1147 - Nav drawer selection color for dark theme isn't right **Summary:**The current selection color for the navigation drawer selected item (e.g., ""Status"" when the status screen is shown) should be darker - it's currently not set as part of the Dark theme (i.e., `navdrawer_background_color_selected_dark` isn't used).This boils down to trying to set the Theme/Style dynamically on the layout for the nav drawer item, and I haven't gotten this working yet.WIP branch at https://github.com/barbeau/gpstest/tree/nav-drawer-dark-selected.Here's the main code:~~~if (Application.getPrefs().getBoolean(getString(R.string.pref_key_dark_theme), false)&& layoutToInflate == R.layout.navdrawer_item) {// Dark themeContext context = new ContextThemeWrapper(getActivity(), R.style.NavDrawerListItem_Dark);LayoutInflater layoutInflater = getActivity().getLayoutInflater().cloneInContext(context);view = layoutInflater.inflate(layoutToInflate, container, false);} else {// Light themeview = getActivity().getLayoutInflater().inflate(layoutToInflate, container, false);}~~~It currently looks like the below, with only the area immediately surrounding the icon and text being black, the rest being `navdrawer_background_color_selected_light`, which is the color for the light style set in the XML:![image](https://user-images.githubusercontent.com/928045/37107322-087c5c20-2202-11e8-9b89-ff1af5bfdd45.png)**Steps to reproduce:**1. Enable Dark theme via Settings1. Open navigation drawer**Expected behavior:**Selected item in navigation drawer should have a darker highlighted color to make it easier to see (i.e., should use `navdrawer_background_color_selected_dark`.**Observed behavior:**The lighter `navdrawer_background_color_selected_light` color is used for the selected item**Device and Android version:**Samsung Galaxy S8+ w/ Android 8.0 beta**Screenshots:**See above"
209,Bug 209 - Bug: Long pressing the amount input brings up QWERTY keyboard #### Steps to reproduce the behaviour1. Navigate to _Transactions_ screen2. Tap the _Add_ button3. Enter _Description_ (optional)4. Focus the _Amount_ input5. Long press to bring up the context menu#### Expected behaviourSee the context menu#### Actual behaviour![screenshot_20170519-122225](https://cloud.githubusercontent.com/assets/43371/26242052/bd0f5a42-3c8f-11e7-869c-d882f1f185d5.png)#### Software specifications* GnuCash Android version: 2.2.0* System Android version: 6.0* Device type: Motorola Moto G (2nd Generation)
8,"Bug 8 - NPE on create payment Steps to reproduce:create a trip -> long click the trip -> swipe the tab from ""Travelers"" to ""Report"", and click menu option ""create payment""Exception trace:```java.lang.NullPointerException: Attempt to invoke virtual method 'android.app.Application android.support.v4.app.FragmentActivity.getApplication()' on a null object referenceat de.koelle.christian.trickytripper.activities.a.c(ParticipantTabActivity.java:96)at de.koelle.christian.trickytripper.activities.a.a(ParticipantTabActivity.java:36)at de.koelle.christian.trickytripper.activities.a$b.a(ParticipantTabActivity.java:154)at android.support.v7.app.AppCompatDelegateImplV9$b.a(AppCompatDelegateImplV9.java:1790)at android.support.v7.app.q$a.a(WindowDecorActionBar.java:1101)at android.support.v7.view.menu.h.a(MenuBuilder.java:817)at android.support.v7.view.menu.j.b(MenuItemImpl.java:156)at android.support.v7.view.menu.h.a(MenuBuilder.java:964)at android.support.v7.view.menu.m.onItemClick(MenuPopup.java:127)at android.widget.AdapterView.performItemClick(AdapterView.java:310)at android.widget.AbsListView.performItemClick(AbsListView.java:1145)at android.widget.AbsListView$PerformClick.run(AbsListView.java:3042)at android.widget.AbsListView$3.run(AbsListView.java:3879)at android.os.Handler.handleCallback(Handler.java:739)at android.os.Handler.dispatchMessage(Handler.java:95)at android.os.Looper.loop(Looper.java:148)at android.app.ActivityThread.main(ActivityThread.java:5417)at java.lang.reflect.Method.invoke(Native Method)at com.android.internal.os.ZygoteInit$MethodAndArgsCaller.run(ZygoteInit.java:726)at com.android.internal.os.ZygoteInit.main(ZygoteInit.java:616)```App Version: 1.5.8Device: Android 6.0 emulator"
53,"Bug 53 - New file dialogue always says Type: Markdown rather than previous type used Steps to reproduce:1. Create a new file, change type to e.g. todo.txt, save it2. Create another new file3. Observe the dialogue correctly remembers .todo.txt as the previously used file extension, but below that it says Type: Markdown![](https://i.imgur.com/VjoVfZf.png)This appears to be a cosmetic issue only - the second new file *is* named something.todo.txt, so the app is correctly remembering the user's last settings, but nonetheless it looks odd and confusing to the user.It also makes it harder when you *want* to make a Markdown file as you have to choose something other than Markdown then choose Markdown again before the file extension will change to .md.Version 2.3.2 from F-Droid."
1073,"Bug 1073 - Your Rights license link broken ### Steps to reproduce- Settings -> Mozilla -> Your rights- Click ""licenses""### Expected behaviorLicenses open### Actual behaviorNothing### Device information* Android device: Pixel 2* Focus version: Tried local Klar WebView build (checked out at a random commit) and Focus GeckoView build, probably recent"
